Site,d13C,d15N,Catchment
G21,-26.66055219,9.056314625,Gala
U14,-26.60890385,7.122922944,Upper Tweed
G08,-26.59839456,7.334548437,Gala
G21,-26.58527425,9.204697215,Gala
G21,-26.54180285,9.409429383,Gala
G08,-26.53034681,7.598844279,Gala
G20,-26.52459001,8.411097521,Gala
U32,-26.44733735,5.392818839,Upper Tweed
U12,-26.39973281,6.504684333,Upper Tweed
G08,-26.37775407,7.607036599,Gala
G04,-26.33527696,8.893150617,Gala
G22,-26.31611785,9.951810858,Gala
G08,-26.29912719,7.152901473,Gala
U12,-26.2588412,6.44070576,Upper Tweed
G08,-26.21038467,8.586157704,Gala
G22,-26.14335119,9.658679671,Gala
G22,-26.1377464,9.764357975,Gala
U13,-26.13377052,8.14773579,Upper Tweed
G20,-26.12094275,8.243128945,Gala
U16,-26.11714667,8.72291135,Upper Tweed
U12,-26.09413123,7.393793863,Upper Tweed
G04,-26.09206539,9.693418886,Gala
G04,-26.08369357,9.276615729,Gala
G20,-26.08178721,8.095869206,Gala
U13,-26.07734827,8.134736378,Upper Tweed
G20,-26.05611249,8.380753728,Gala
U16,-26.05339031,7.697954441,Upper Tweed
G21,-26.05012768,8.710163968,Gala
U16,-26.02253118,8.283491894,Upper Tweed
G20,-26.01279504,8.399424761,Gala
G22,-25.99498098,9.705710667,Gala
G08,-25.98350546,7.655529866,Gala
G22,-25.94370602,9.502706575,Gala
G04,-25.93004847,9.318185917,Gala
G08,-25.91097588,7.765848856,Gala
U12,-25.86731161,6.664292618,Upper Tweed
U16,-25.77672383,8.170801234,Upper Tweed
G20,-25.70240016,8.439541471,Gala
G04,-25.6882225,9.600872954,Gala
G04,-25.59720485,8.798947796,Gala
U16,-25.59168524,8.417181342,Upper Tweed
U12,-25.56838825,6.844325744,Upper Tweed
G08,-25.46871243,8.846149861,Gala
G04,-25.43758272,10.38969699,Gala
U12,-25.41779909,6.911240915,Upper Tweed
G04,-25.33442942,10.54936311,Gala
U12,-25.3219689,6.377468346,Upper Tweed
G04,-25.25756563,10.08122679,Gala
G22,-25.24167617,10.18580988,Gala
U12,-25.065797,6.721272001,Upper Tweed
G22,-25.0233134,9.798286302,Gala
G22,-24.75520455,10.907314,Gala
G04,-24.74973423,10.32487963,Gala
G22,-24.71213142,10.32489039,Gala
G22,-24.67271154,11.16070316,Gala
G22,-24.534455,9.604909755,Gala
G22,-24.25759282,9.890945559,Gala
G22,-24.21301446,10.56983954,Gala
G22,-24.12100026,11.09459545,Gala
G22,-24.08430454,10.62993769,Gala
G04,-24.00902224,11.25646544,Gala
G22,-23.73630709,10.77047522,Gala
G22,-23.43201917,10.40910386,Gala
G22,-22.47810935,12.6459911,Gala
